carriers,locs,techs,timesteps,capacity_factor
power,AA,CCGT_pp,2019-01-12 17:00:00,0.7815876827186047
power,AA,CCGT_pp,2019-01-12 18:00:00,1.0
power,AA,CCGT_pp,2019-01-12 19:00:00,1.0
power,AA,CCGT_pp,2019-01-12 20:00:00,1.0
power,AA,CCGT_pp,2019-01-12 21:00:00,1.0
power,AA,CCGT_pp,2019-01-12 22:00:00,1.0
power,AA,CCGT_pp,2019-01-12 23:00:00,1.0
power,AA,CCGT_pp,2019-01-13 00:00:00,0.9710268979802326
power,AA,CCGT_pp,2019-01-13 01:00:00,0.9245018712151164
power,AA,CCGT_pp,2019-01-13 02:00:00,0.8226560429639534
power,AA,CCGT_pp,2019-01-13 03:00:00,0.8022521577023255
power,AA,CCGT_pp,2019-01-13 04:00:00,0.7988958744302326
power,AA,CCGT_pp,2019-01-13 05:00:00,0.75605118595
power,AA,CCGT_pp,2019-01-13 06:00:00,0.6276331171674419
power,AA,CCGT_pp,2019-01-13 07:00:00,0.5523559249953489
power,AA,CCGT_pp,2019-01-13 08:00:00,0.30073728520348836
power,AA,CCGT_pp,2019-01-13 09:00:00,0.2999101280255814
power,AA,CCGT_pp,2019-01-13 10:00:00,0.33443489834302326
power,AA,CCGT_pp,2019-01-13 11:00:00,0.36063839589534885
power,AA,CCGT_pp,2019-01-13 12:00:00,0.5374840001116279
power,AA,CCGT_pp,2019-01-13 13:00:00,0.6247043741860465
power,AA,CCGT_pp,2019-01-13 14:00:00,0.6342603842465117
power,AA,CCGT_pp,2019-01-13 15:00:00,0.6459707447848838
power,AA,CCGT_pp,2019-01-13 16:00:00,0.6344796678941861
power,AA,CCGT_pp,2019-01-13 17:00:00,0.0
power,AA,CCGT_pp,2019-01-13 18:00:00,0.41390706938953487
power,AA,CCGT_pp,2019-01-13 19:00:00,0.6655935729116279
power,AA,CCGT_pp,2019-01-13 20:00:00,1.0
power,AA,CCGT_pp,2019-01-13 21:00:00,1.0
power,AA,CCGT_pp,2019-01-13 22:00:00,1.0
power,AA,CCGT_pp,2019-01-13 23:00:00,0.9350568029104651
power,AA,CCGT_pp,2019-01-14 00:00:00,0.8862633927720931
power,AA,CCGT_pp,2019-01-14 01:00:00,0.8015577538023256
power,AA,CCGT_pp,2019-01-14 02:00:00,0.7492228861476744
power,AA,CCGT_pp,2019-01-14 03:00:00,0.7400220412465116
power,AA,CCGT_pp,2019-01-14 04:00:00,0.6864951144604652
power,AA,CCGT_pp,2019-01-14 05:00:00,0.7409826327906976
power,AA,CCGT_pp,2019-01-14 06:00:00,0.6264044486709301
power,AA,CCGT_pp,2019-01-14 07:00:00,0.599283073094186
power,AA,CCGT_pp,2019-01-14 08:00:00,0.6404071945790698
power,AA,CCGT_pp,2019-01-14 09:00:00,0.7368287315372093
power,AA,CCGT_pp,2019-01-14 10:00:00,0.7157230591209303
power,AA,CCGT_pp,2019-01-14 11:00:00,0.7901596882267442
power,AA,CCGT_pp,2019-01-14 12:00:00,0.8171450311569768
power,AA,CCGT_pp,2019-01-14 13:00:00,0.861169293855814
power,AA,CCGT_pp,2019-01-14 14:00:00,0.8756306908976744
power,AA,CCGT_pp,2019-01-14 15:00:00,0.9026000581941861
power,AA,CCGT_pp,2019-01-14 16:00:00,0.8940257212034884
power,AA,CCGT_pp,2019-01-14 17:00:00,0.8672696743465117
power,AA,CCGT_pp,2019-01-14 18:00:00,1.0
power,AA,CCGT_pp,2019-01-14 19:00:00,1.0
power,AA,CCGT_pp,2019-01-14 20:00:00,1.0
power,AA,CCGT_pp,2019-01-14 21:00:00,1.0
power,AA,CCGT_pp,2019-01-14 22:00:00,1.0
power,AA,CCGT_pp,2019-01-14 23:00:00,1.0
power,AA,CCGT_pp,2019-01-15 00:00:00,0.9885721560372093
power,AA,CCGT_pp,2019-01-15 01:00:00,0.915717669255814
power,AA,CCGT_pp,2019-01-15 02:00:00,0.8814257152476744
power,AA,CCGT_pp,2019-01-15 03:00:00,0.8310814705546512
power,AA,CCGT_pp,2019-01-15 04:00:00,0.9022230960372094
power,AA,CCGT_pp,2019-01-15 05:00:00,1.0
power,AA,CCGT_pp,2019-01-15 06:00:00,0.7879456095581395
power,AA,CCGT_pp,2019-01-15 07:00:00,0.6513375168011628
power,AA,CCGT_pp,2019-01-15 08:00:00,0.6461148562197675
power,AA,CCGT_pp,2019-01-15 09:00:00,0.7046779186430233
power,AA,CCGT_pp,2019-01-15 10:00:00,0.6982925402395349
power,AA,CCGT_pp,2019-01-15 11:00:00,0.7200603865232558
power,AA,CCGT_pp,2019-01-15 12:00:00,0.7293845443104651
power,AA,CCGT_pp,2019-01-15 13:00:00,0.8269351703953488
power,AA,CCGT_pp,2019-01-15 14:00:00,0.8336733995406976
power,AA,CCGT_pp,2019-01-15 15:00:00,0.825461529772093
power,AA,CCGT_pp,2019-01-15 16:00:00,0.8525848788720931
power,AA,CCGT_pp,2019-01-15 17:00:00,0.8596691265558138
power,AA,CCGT_pp,2019-01-15 18:00:00,1.0
power,AA,CCGT_pp,2019-01-15 19:00:00,1.0
power,AA,CCGT_pp,2019-01-15 20:00:00,1.0
power,AA,CCGT_pp,2019-01-15 21:00:00,1.0
power,AA,CCGT_pp,2019-01-15 22:00:00,1.0
power,AA,CCGT_pp,2019-01-15 23:00:00,1.0
power,AA,GT_pp,2019-01-01 00:00:00,0.0
power,AA,GT_pp,2019-01-01 01:00:00,0.0
power,AA,GT_pp,2019-01-01 02:00:00,0.0
power,AA,GT_pp,2019-01-01 03:00:00,0.0
power,AA,GT_pp,2019-01-01 04:00:00,0.0
power,AA,GT_pp,2019-01-01 05:00:00,0.0
power,AA,GT_pp,2019-01-01 06:00:00,0.0
power,AA,GT_pp,2019-01-01 07:00:00,0.0
power,AA,GT_pp,2019-01-01 08:00:00,0.0
power,AA,GT_pp,2019-01-01 09:00:00,0.0
power,AA,GT_pp,2019-01-01 10:00:00,0.0
power,AA,GT_pp,2019-01-01 11:00:00,0.0
power,AA,GT_pp,2019-01-01 12:00:00,0.0
power,AA,GT_pp,2019-01-01 13:00:00,0.0
power,AA,GT_pp,2019-01-01 14:00:00,0.0
power,AA,GT_pp,2019-01-01 15:00:00,0.0
power,AA,GT_pp,2019-01-01 16:00:00,0.0
power,AA,GT_pp,2019-01-01 17:00:00,0.0
power,AA,GT_pp,2019-01-01 18:00:00,0.0
power,AA,GT_pp,2019-01-01 19:00:00,0.0
power,AA,GT_pp,2019-01-01 20:00:00,0.0
power,AA,GT_pp,2019-01-01 21:00:00,0.0
power,AA,GT_pp,2019-01-01 22:00:00,0.0
power,AA,GT_pp,2019-01-01 23:00:00,0.0
power,AA,GT_pp,2019-01-02 00:00:00,0.0
power,AA,GT_pp,2019-01-02 01:00:00,0.0
power,AA,GT_pp,2019-01-02 02:00:00,0.0
power,AA,GT_pp,2019-01-02 03:00:00,0.0
power,AA,GT_pp,2019-01-02 04:00:00,0.0
power,AA,GT_pp,2019-01-02 05:00:00,0.0
power,AA,GT_pp,2019-01-02 06:00:00,0.0
power,AA,GT_pp,2019-01-02 07:00:00,0.0
power,AA,GT_pp,2019-01-02 08:00:00,0.0
power,AA,GT_pp,2019-01-02 09:00:00,0.0
power,AA,GT_pp,2019-01-02 10:00:00,0.0
power,AA,GT_pp,2019-01-02 11:00:00,0.0
power,AA,GT_pp,2019-01-02 12:00:00,0.0
power,AA,GT_pp,2019-01-02 13:00:00,0.0
power,AA,GT_pp,2019-01-02 14:00:00,0.0
power,AA,GT_pp,2019-01-02 15:00:00,0.0
power,AA,GT_pp,2019-01-02 16:00:00,0.0
power,AA,GT_pp,2019-01-02 17:00:00,0.0
power,AA,GT_pp,2019-01-02 18:00:00,0.0
power,AA,GT_pp,2019-01-02 19:00:00,0.0
power,AA,GT_pp,2019-01-02 20:00:00,0.0
power,AA,GT_pp,2019-01-02 21:00:00,0.0
power,AA,GT_pp,2019-01-02 22:00:00,0.0
power,AA,GT_pp,2019-01-02 23:00:00,0.0
power,AA,GT_pp,2019-01-03 00:00:00,0.0
power,AA,GT_pp,2019-01-03 01:00:00,0.0
power,AA,GT_pp,2019-01-03 02:00:00,0.0
power,AA,GT_pp,2019-01-03 03:00:00,0.0
power,AA,GT_pp,2019-01-03 04:00:00,0.0
power,AA,GT_pp,2019-01-03 05:00:00,0.0
power,AA,GT_pp,2019-01-03 06:00:00,0.0
power,AA,GT_pp,2019-01-03 07:00:00,0.0
power,AA,GT_pp,2019-01-03 08:00:00,0.0
power,AA,GT_pp,2019-01-03 09:00:00,0.0
power,AA,GT_pp,2019-01-03 10:00:00,0.0
