locs,techs,timesteps,resource
AH,demand_power,2019-01-05 09:00:00,-260562.7035
AH,demand_power,2019-01-05 10:00:00,-264910.6195
AH,demand_power,2019-01-05 11:00:00,-265027.5308
AH,demand_power,2019-01-05 12:00:00,-267797.8843
AH,demand_power,2019-01-05 13:00:00,-270754.70399999997
AH,demand_power,2019-01-05 14:00:00,-277079.7527
AH,demand_power,2019-01-05 15:00:00,-269476.0793
AH,demand_power,2019-01-05 16:00:00,-275003.4674
AH,demand_power,2019-01-05 17:00:00,-286898.821
AH,demand_power,2019-01-05 18:00:00,-331510.0966
AH,demand_power,2019-01-05 19:00:00,-359303.9055
AH,demand_power,2019-01-05 20:00:00,-361547.4183
AH,demand_power,2019-01-05 21:00:00,-356156.1801
AH,demand_power,2019-01-05 22:00:00,-333274.1252
AH,demand_power,2019-01-05 23:00:00,-313727.7417
AH,demand_power,2019-01-06 00:00:00,-305102.9444
AH,demand_power,2019-01-06 01:00:00,-292861.2967
AH,demand_power,2019-01-06 02:00:00,-284597.5924
AH,demand_power,2019-01-06 03:00:00,-280999.9805
AH,demand_power,2019-01-06 04:00:00,-279169.3569
AH,demand_power,2019-01-06 05:00:00,-278200.0292
AH,demand_power,2019-01-06 06:00:00,-262585.7127
AH,demand_power,2019-01-06 07:00:00,-259744.3245
AH,demand_power,2019-01-06 08:00:00,-244960.2261
AH,demand_power,2019-01-06 09:00:00,-245848.16
AH,demand_power,2019-01-06 10:00:00,-245552.182
AH,demand_power,2019-01-06 11:00:00,-251900.9089
AH,demand_power,2019-01-06 12:00:00,-265853.3092
AH,demand_power,2019-01-06 13:00:00,-264348.2614
