,UE,UW,NP,BA,AH,WP,CP,EP,AA,TV
179,-20147.99298,-11763.71435,-71169.8148,-73107.46182,-283518.7528,-232793.9425,-105838.868,-128616.4283,-941302.7213,-47550.30311
180,-20782.25496,-12134.03792,-73410.25176,-75408.89621,-292443.9678,-240122.3324,-109170.6922,-132665.2937,-970935.079,-49047.19412
181,-19648.02921,-11471.80284,-69403.7665,-71293.33164,-276483.3571,-227017.2611,-103212.5221,-125424.867,-917944.6997,-46370.36281
182,-19759.71653,-11537.01319,-69798.28549,-71698.59168,-278055,-228307.7187,-103799.2237,-126137.8325,-923162.6675,-46633.95065
183,-20347.91538,-11880.44211,-71876.01123,-73832.88493,-286332.0232,-235103.886,-106889.0749,-129892.65,-950642.982,-48022.1303
184,-20331.19384,-11870.67897,-71816.94483,-73772.2104,-286096.7207,-234910.6819,-106801.2354,-129785.9066,-949861.7608,-47982.66659
185,-20329.30083,-11869.57371,-71810.25806,-73765.34159,-286070.0827,-234888.8097,-106791.2913,-129773.8224,-949773.3207,-47978.199
186,-21644.3086,-12637.36115,-76455.32915,-78536.87792,-304574.6238,-250082.6727,-113699.1225,-138168.2865,-1011209.733,-51081.6852
187,-23428.67656,-13679.19171,-82758.34588,-85011.4986,-329683.9127,-270699.6171,-123072.5367,-149558.9512,-1094574.384,-55292.88564
188,-25526.96791,-14904.31126,-90170.25074,-92625.19766,-359210.6724,-294943.6952,-134095.0134,-162953.5727,-1192605.357,-60244.96152
189,-25638.02423,-14969.15319,-90562.54081,-93028.16809,-360773.436,-296226.8622,-134678.4003,-163662.5101,-1197793.845,-60507.06016
190,-19036.48329,-11114.74239,-67243.57069,-69074.32302,-267877.7984,-219951.3371,-100000.027,-121521.0116,-889373.6236,-44927.08288
191,-21006.36577,-12264.88845,-74201.89016,-76222.0875,-295597.6127,-242711.7535,-110347.9626,-134095.9241,-981405.408,-49576.1072
192,-20475.69325,-11955.04717,-72327.36771,-74296.52989,-288130.0892,-236580.257,-107560.3013,-130708.3309,-956612.6909,-48323.69266
193,-19637.82801,-11465.84672,-69367.73228,-71256.31636,-276339.8078,-226899.3944,-103158.9345,-125359.7468,-917468.1057,-46346.28747
